SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
513589,17,29140,79,8,0,136,28:49.7,7FQJMDW281L4BB1ON9X0
2297807,3,81322,179,21,0.1,63,36:50.6,BLV5ZNMGXBCE3N9O3UKQ
385904,19,54616,82,14,0.2,266,05:15.8,STYAF96XEIDPKTQLCB46
3399661,11,39827,387,11,0.2,121,04:08.0,VGCX02XHFJC5H6U4Q86Z
1058316,11,51214,49,13,0,143,22:53.9,QVW5LIJ169ENAXE1GZCH
4869480,2,12588,96,4,0,8,59:50.7,6HAYTC9OGX8GFIUI1G4X
2202247,10,53445,117,14,0.1,140,23:21.1,4B49RCDZWPZVEU54T7MW
4721192,20,72117,32,19,0,380,35:57.9,T9N4GAW7GBDQISUB8UDU
2841306,21,28442,394,8,0,168,05:51.0,FYMIVD27MKZZN62DEQFP
2056376,8,47053,305,12,0,96,20:28.1,2BZUDW1E5WSSD0ODXN5T
3284321,14,63080,337,16,0.2,224,46:01.5,4VA33AU2UGCHSP3L3QMN
1555238,15,10189,377,3,0,45,18:28.9,75EVPMV8QMMLZIVJOVQD
5965693,7,44857,332,12,0,84,22:42.7,NW5R8CUIDN49OBJWSL4U
6105068,21,57734,284,15,0,315,25:07.7,DO3JUJ1OXHKHQ52IRMLY
2941595,6,11141,189,3,0,18,12:12.6,GIQBOO2Y256RS5NDVCHU
5208359,21,95089,46,25,0,525,16:49.4,OIN7G8QDJKUJZHAZV60L
300831,9,67731,294,18,0,162,11:28.7,RMK2LJJTZOJLLY0YHY51
5628152,6,74184,21,19,0,114,06:23.1,1FK46O8XQVRZTQY6HLMQ
4176244,12,67472,220,18,0,216,43:36.8,OZDQDZENCVCBVBU1VI81
2124914,9,61298,437,16,0,144,53:51.9,AAKJ34JT0JFAYZ616BVW
2980976,5,18651,295,5,0,25,24:15.8,3EH3FIICXH2J3F0KUNY3
2600108,14,6374,354,2,0,28,31:01.1,IY42C9KXJLNWMSA5JYYI
5454040,14,4059,93,2,0,28,58:35.5,1I5CK76YXRN0PGUSNWQS
6455973,18,70863,303,18,0,324,37:35.1,RLYYOZAQ1CO3NWHF58CT
963723,19,89149,33,23,0,437,12:07.0,WB06HSGDPFAQUA1KQ76G
2015809,3,66985,15,17,0.2,51,54:37.4,FYWB6GUEYPDW1LSWJGW4
6073139,16,78584,437,20,0,320,58:54.6,4A5L4PV10PU5NZJPA2UQ
1617767,6,27334,363,7,0,42,44:37.1,9J6TIC8WULUTMIM6AI7S
6632713,2,40956,193,11,0,22,58:57.4,0DXB9AEGVFF6SETGHJ75
3438015,2,14266,115,4,0,8,24:48.6,XIAMPZ0ZU1FUZHVOPJK3
2966516,10,73545,334,19,0.1,190,44:44.5,33QSYX7NSQCEOT3BFL7L
1698629,3,42280,401,11,0,33,52:04.6,K96HAQ81GWB7TF00GPIN
2134427,11,31006,280,8,0,88,58:00.0,S7LQGA8AD4BCZED6HBU5
2760699,15,2003,270,1,0.1,15,07:50.6,4OUOS7J1FW5VSCO7922T
557273,6,53917,9,14,0,84,14:07.5,O8XDKPZVV16T17WWAWFJ
3376958,21,18455,292,5,0,105,04:43.6,WHFFO8XOUHBZEQKVZWXH
4671309,11,10637,264,3,0,33,34:00.5,N0EPL5AXXCAJN366B0I6
4254388,2,41619,202,11,0.2,22,10:45.5,RP5A9ZPE7JO383NCR9NS
5587350,14,36355,233,10,0,140,44:26.5,FBVP1TVZ4V61RJ7I28P6
5458607,4,10250,6,3,0,12,56:16.1,LBQZ02OLE94528QLCH87
1844342,17,44980,40,12,0.1,204,54:39.0,Q1BI5SX60XX710WH659K
4139736,1,83062,34,22,0,22,18:54.1,OX61W7TSKXS6GH3B8HIX
4717491,2,41362,205,11,0,22,46:17.1,QNXCRJWCL5S3NFJZ3DFO
5932511,2,79651,192,21,0,42,57:54.6,BHXG4F2YVB1WH9DAFW82
5507545,4,16230,96,5,0,20,13:32.6,JIO61JWFRMGOR1439IOU
4144201,13,48617,175,13,0,169,48:10.7,BF68AMSZ2E0F5LHDML70
5428065,16,68274,102,18,0,288,05:09.5,DWE8OW4SLZGS7GF5OFOJ
5888292,17,4001,19,2,0,34,15:57.0,JQ7VXVIL6UUQ5Y52F4O4
147670,7,73097,416,19,0,133,11:04.9,WJK6YAVCY7S25KZCCDFC
4444468,11,52488,55,14,0,154,45:37.5,JNROYHUHVE9V8UL0ZFZ3
374209,21,89762,431,23,0,483,37:33.9,JCX26NCDML0KOZZ7DRTH
1897784,12,46188,186,12,0,144,52:15.3,KQCWDZZMLRK9UXSQT8QS
14302,1,92499,361,24,0,24,03:58.0,JQ2J63VPEFD5L16YRFDC
2516542,22,98303,39,25,0,550,28:22.6,2K529UEG0QGHBET7HFZY
5702609,3,61956,420,16,0,48,59:47.0,75WG9WXM34SCJTJATFEA
5425211,23,40161,249,11,0,253,15:09.7,0NQGEL4VROXZ3TVGTFIN
5715284,20,65883,416,17,0,340,20:28.8,CXBIOWGUAOH4AF8PUB1M
42338,22,38488,267,10,0,220,42:51.3,Q5HU6E3TEOTBXVJNK6TE
1889269,21,20853,76,6,0,126,58:19.1,P3C14GAY4QX6MZPRR5AF
6189104,2,19613,397,5,0,10,45:44.6,3LCMO6BHQH9AFCA2LVTJ
4348515,17,4325,27,2,0.1,34,44:19.4,31TR4LS3H2ISD1XRYBGM
713557,6,94696,238,24,0,144,01:13.4,HXJ1UMF8DMASU22WAGI7
3969612,16,54358,173,14,0,224,54:28.2,I3NF20XZRZYM5OMWNKBT
337931,15,37475,234,10,0,150,37:06.1,RJK4DNGCMHYFBTJI7Q35
2182589,4,1858,151,1,0,4,59:25.8,J53ROPLWZLGKDA5ED3N6
1428560,3,29908,265,8,0,24,02:38.4,59ASB5VWYE3T6F9CVTYN
5340672,1,89524,322,23,0,23,18:24.5,ZLLI3VFLFDS3XP3QS2YF
4949210,16,76698,428,20,0,320,50:02.8,X8QKIAYT02TMAOL6EISO
4186548,2,4227,4,2,0,4,48:08.6,QY0ZGEIO1TI0VDY13ISA
2603818,3,91688,70,24,0,72,46:23.9,8CFI8QD9N14HEVCOPHY3
1053299,9,40929,4,11,0,99,44:49.3,0YZQAIFB7S6RP657I53H
5766789,23,77844,214,20,0,460,23:22.9,PRAQL01ULCF9TCRH7173
1333452,3,65744,16,17,0,51,34:05.2,BTU45MJK6VJ00KH4R7ZP
1674240,10,98006,171,25,0,250,50:21.0,QYGWFJVF9VWN0A7137U1
1902446,5,83630,142,22,0,110,55:31.1,1AH8H74YDJ3XTN7VL2W3
4921326,6,27586,146,7,0.2,42,02:50.1,35PALCNYNTZ1J9G19C7G
3285024,4,96960,99,25,0.1,100,12:02.6,PRW10LKAPKE7DA094P9S
5670420,22,90844,410,23,0,506,53:34.2,DQEZ6GHJ6BHZU6OUN74F
1216765,7,19235,20,5,0,35,43:30.4,SL8YNL8886VTPF5106C8
1574264,13,37369,285,10,0,130,43:32.0,LPTF7SQZ05DA3NWJCWN6
5286592,10,85423,243,22,0,220,47:54.5,EEO3IUXRT31QEILF3BFD
494437,6,3423,95,1,0,6,14:33.5,KDRXCK3QSAD0UPUDVLVM
6016260,5,46165,400,12,0,60,09:39.4,ARNB53YT19W0VJFW0UJS
4408723,20,18301,317,5,0,100,44:00.8,5VUID5Z14GPQRIOP2C8R
560941,8,41945,25,11,0,88,30:52.4,OXVU6W3BTTJGMA7ZK9VP
3990267,20,70978,449,18,0,360,34:20.7,5Y6B2Z371NWS9YPJW4YE
6645713,23,37839,448,10,0,230,37:07.9,X87FMD1LISV8CNT408Z4
2410173,5,5353,164,2,0.2,10,18:41.2,FLMF7GBSF846CLYMFOWJ
123754,4,67213,213,18,0,72,33:43.6,YJCQS3KPR52754JLFRLI
3162965,5,38460,91,10,0,50,50:15.3,1MQ0G37H9T1KX06ZU5RQ
4807530,18,79070,155,21,0,378,23:16.9,LX5GBFLYAUB97HUMZIP4
6586194,19,71708,57,19,0.2,361,12:04.6,KHGABCNRJ981O6I2EMRA
124200,4,66809,216,17,0,68,39:17.1,MGJJG7D49HPR59THWS5L
2634064,18,53106,304,14,0,252,35:29.9,DXJJAFDH5OGBWPMNKRWC
4096894,12,84640,191,22,0,264,59:26.7,CFZGNI4O4LC0FDB6B23R
4539052,3,3406,178,1,0.2,3,26:36.1,NH5AA65A9RY0RCGITHX5
3421611,21,72724,11,19,0,399,04:32.2,IXCOH8HQSYH5F8ODHXJ2
2784498,3,17785,349,5,0,15,10:49.4,CFU5JD10I8KQI4MUUWGD
4225968,3,85327,6,22,0,66,01:12.4,29XSGQNE5KXAAGON29DT
1062952,12,19817,122,6,0,72,41:24.5,OPZ20EBE1W4G9PADIGXD
3657354,2,42897,444,11,0,22,53:26.5,Q69QGU8H342S7BZ86X4N
736852,7,96382,449,25,0,175,00:05.2,AYCL3GK4HU0DC8TPP3OO
1653678,19,54591,299,14,0.1,266,38:27.9,AR8JO032JDXAHZLDFWW9
3306367,19,63011,191,16,0.1,304,00:52.8,61WIH0EWZ6BJ3UHV3WOC
2066858,9,6375,36,2,0.1,18,11:26.5,RW2CKKQ5NGP7ARW4K2EA
2357281,12,57820,83,15,0.2,180,50:10.6,QR8BSHB9E4SH0OBLTNHC
132343,23,28048,123,8,0,184,31:02.4,VPPAR1I3RYMXBLDVICKC
2609133,4,35524,71,9,0,36,47:02.9,F54M9RBZA3W2GAJ3EO8C
4990643,10,73232,109,19,0,190,48:02.0,388J6OUDEODXBRCLJV6J
523809,2,96548,150,25,0,50,23:51.6,5UPJNUH4GP72OASRGP7Z
1829816,1,89423,320,23,0,23,13:11.0,J6JK5Z1RKDWPFKVKPFW0
3641047,15,60200,23,16,0,240,15:41.3,Z0IOI2VYWF1RF4N3CO4A
5243425,21,6935,145,2,0,42,00:07.5,QXH524P0WJNZCG4GM2KR
570658,22,24020,328,7,0,154,47:46.3,9FOC2DGUI1Z3RRDQRL2N
4815742,7,16261,444,5,0.1,35,54:14.4,G5DMM4VKLYAC51ZD9TJS
2708817,19,76816,106,20,0,380,27:26.3,UFWJ6PQXV7Y71ONIVKRX
4780323,9,49318,90,13,0,117,04:01.0,R1H1HARXPG16GNIEG4OR
5864461,1,5078,272,2,0,2,41:22.3,HHPZS7W5GPXZW0VLBUHM
3858346,23,32951,172,9,0,207,38:44.7,57Y1DO9HRUL6KVAZ6VHQ
3957883,2,89417,72,23,0,46,10:32.1,9DP6RTGWU3BCB0DYNIFG
1632198,16,53641,392,14,0,224,46:26.9,N44W1NK3OL4EJV6T4HTO
295721,9,60468,224,16,0,144,52:42.5,FAI729QCJD8VSWXWV3SK
632546,5,19684,327,5,0.2,25,43:04.7,84NIYWH6LN7L38JGWYU4
3098100,8,47723,96,13,0,104,56:12.2,1HZIDSJXUIF3M9S3OJGH
3771631,19,26978,229,7,0,133,12:55.7,LPBLZMWC9YR48TJQTBJ2
5616165,3,79416,159,21,0,63,07:30.7,0J3R4J40HWNB7B1LS15B
620330,11,37713,127,10,0,110,31:16.2,M3RHY4E4COWAM42H5Z56
5646459,22,48278,364,13,0,286,25:57.6,0U20MHQU6Z109QAH8WBC
1609066,9,34313,367,9,0,81,26:07.1,J8KLNJPB0RU0L2NA8ZH7
3345771,21,25607,357,7,0,147,24:24.6,SIENVZEKPE3WVM5U4654
5200091,22,57447,18,15,0,330,17:20.7,EBR8CESA1YVFPOBAKTXX
2295543,9,66392,276,17,0,153,44:26.1,KE4XE2A5LTEKEMI2UQVK
2844218,2,21915,440,6,0,12,27:04.9,15TPJK3OS49O8DL89DSX
485832,15,40133,41,11,0,165,06:19.9,PRT1Q6RI6A1I78L5CTY7
2299520,10,91537,84,24,0,240,55:25.5,IWAWIBIFZTP3JN41Q1UP
4696440,17,26081,48,7,0.1,119,31:22.7,2EQK17QYPPCHCL72I5A3
2571000,10,12602,103,4,0,40,34:01.6,GQXZ2VLCJ7XOM37P7KJG
1940624,14,27122,137,7,0,98,17:21.5,9QJOY3QVOZJNC2EFY44S
6199438,21,81053,85,21,0,441,55:21.0,2E0J8NCVE5CBOB043CZK
250182,8,53102,373,14,0.1,112,46:08.1,LLOVYHOUHBZISEYBR7TD
4614800,13,5519,362,2,0,26,34:50.5,MYYL0NJ1RF031POHN980
2790106,18,8641,264,3,0,54,24:13.6,8HOROUR0OURZ8PEJ48OO
275751,14,49062,383,13,0.2,182,08:56.8,3G8FQ7GA156WLEMW2J9X
1115404,21,27853,176,8,0,168,44:08.7,M16UPYWQV0WUFT5X7UGF
1232870,9,96252,408,25,0,225,47:34.0,LY0R6PI92G12QMB3V3CX
4306578,17,15153,153,4,0.1,68,59:48.5,1XYJHSDHVGHKWUSQS25O
1716768,10,28625,40,8,0,80,07:48.2,GM8FRAZ46J1U38SLCSGV
3366121,5,525,106,1,0,5,54:59.6,T00XKL4C9A8SU94FTBII
3609808,18,75678,126,20,0.2,360,10:32.5,QU1100ODYTUZKM1JSNFP
5810268,6,47880,168,13,0,78,06:24.5,5B8SYE98SPKBF1AVVOJF
2621526,4,68889,244,18,0,72,48:19.7,32ALVXBUMFCGXOLJFOYN
6628454,9,36465,403,10,0,90,20:26.2,XQGZZ6NK9K67DFKI6QKM
1117297,8,81225,255,21,0,168,11:20.1,0L4JYOZSPLJBN3M5IZPG
6354766,4,80208,375,21,0,84,48:10.5,7QUVB1699CX6T8K7AJ7P
4688697,13,3988,368,2,0,26,26:24.6,U3FHWR491ODETX6V14V5
6361835,12,97667,87,25,0,300,44:23.1,XE7G4CMT79XBMYJLXZDR
1241610,20,76691,79,20,0,400,27:14.4,BNE2VCYWWDNZPGGZCM9V
6073741,6,63229,105,17,0.2,102,38:30.9,EC6FZSLK8Y6UWNAK25ZX
3317083,14,8767,369,3,0,42,20:52.0,WSGM3Z1Z6TZ9MT1XVXSZ
5958395,1,83429,261,22,0,22,40:13.9,96FLX76KGIF59QOK60PF
2230509,4,17182,318,5,0,20,09:02.6,3VO5TYEHW51GT8SHBK0T
4243056,22,76860,248,20,0,440,53:43.7,TOCUNW4P8S6J7TM2R2XW
5197336,8,84242,71,22,0,176,56:39.3,BF5RPT5BMFIVQL3DM1PR
6338994,10,25010,243,7,0.1,70,27:46.0,03N0IUKXIXETUZGYMYVX
6030615,2,20401,417,6,0,12,42:31.3,SIB4HI91W2GFQIIS97HZ
4970606,3,68825,268,18,0.1,54,37:52.6,WTHVLRXOLCBQMWMR6SJB
6713609,1,43630,271,12,0,12,53:06.5,0OPXBRVJO87REA4DRJJG
2256896,20,15725,65,4,0,80,25:33.7,0N0JDLDKS0RHOIRM6PS3
6684322,13,49936,194,13,0,169,58:05.0,K7SAGVL1FEBNJ1SRXVSZ
6676772,6,3772,333,1,0,6,26:10.7,KRO5B8XQ22SXZDZAVTQD
3222240,11,23685,178,6,0,66,34:43.1,0D7ULCTVGSQUWWNK1IK7
3807664,20,24942,376,7,0,140,53:59.6,N1UXLG5ABMO2QKNKRT1N
79087,8,10647,346,3,0,24,52:22.6,YOFFDZP01IEVLJYPDJ0S
3759396,13,40361,317,11,0,143,58:14.9,AQX9Y06ZXURV1KPJ6E1P
3374348,5,79617,100,21,0,105,12:50.1,559I0FABWRKT29JSRIBL
1488199,17,31605,328,9,0,153,57:09.5,AGH65SPSEA5TZUHS10XJ
853723,8,46237,96,12,0,96,35:50.3,U94XZ0BUARQ6DV14T1LK
6573601,15,13199,415,4,0,60,03:06.3,31C77GMG8VHTZQICD56S
4785594,22,20976,55,6,0,132,59:58.9,C02XJB0NX1BYC51TQM3H
617133,18,55067,110,14,0,252,19:25.1,KGDV09HTEA74H9ATPPBA
5722336,20,96746,306,25,0.2,500,23:39.0,790PJTFJ509BOZJ2WKWZ
3665506,1,84443,44,22,0,22,39:45.9,COY4ATVYRV89MG47Z9UA
5651219,19,86768,440,22,0,418,34:43.5,GUG06CYIZCG3QN9W3L21
5259494,12,57244,311,15,0,180,26:58.7,6VUD85Y0Q5TCGGC7D68I
3765458,6,1323,296,1,0,6,04:31.6,JREIHY6FS3JIZJW8CDON
5877612,16,24074,282,7,0,112,30:28.5,2IEK7O2QYB56EN7WWUCI
457340,7,75668,229,20,0,140,30:23.3,2NTP1RT29RFWGXTO54SX
2832221,4,91307,262,24,0,96,52:53.1,N9XFZU7O36RR8XE2O6VN
3493652,21,66246,378,17,0,357,54:17.1,9RF40Q8XXM6I4DIO8P7Q
4437305,6,997,308,1,0.1,6,22:31.2,KNMO77VY3MHP18Y5VPZ4
5019281,23,44625,74,12,0,276,24:36.0,J9P1AR7VKJRSJUX5K36T
4898487,12,55552,302,15,0,180,43:00.3,EKOE7N74BUBELR97MC5M
3144708,14,10154,179,3,0,42,29:35.7,Z6FKL8SGGUSED9BK9YBI
628258,18,52207,306,14,0,252,39:21.1,FEMK8NY565ZQGIV6V35F
6463545,16,21002,2,6,0,96,20:17.7,D0APG9YL2VRL7IK2L78V
2204936,1,50673,342,13,0,13,36:22.4,2X7RTCZI0V7PA741QDP2
2516920,7,20296,278,6,0,42,00:43.8,FEW5E9C4ZRVQ6FDK2LGH
4407245,3,57594,369,15,0,45,27:03.7,V0AYV1EIU5W4Q2UY3UAQ
2961446,19,44218,408,12,0,228,48:12.8,ALBU0FAGLDJPD5GGX6K5
6509085,9,43173,16,11,0.2,99,58:50.1,RVJX0FVODBO2MBCYATK5
1959247,18,17379,128,5,0,90,46:52.4,4X08KF6L57TYDZONXSHZ
4457990,23,13483,168,4,0,92,37:26.1,RR7U4QTVATMTZPEMN3KW
2457137,8,77436,439,20,0,160,34:41.6,RAN6WWNKUW3N5EUIS69Q
3336185,4,83562,173,22,0,88,37:38.8,UJ4CNXLPGO87EOXHUJDQ
5245517,10,65773,260,17,0,170,30:32.9,BHH0KPAJD44TOKSJWF8N
6617049,17,77622,410,20,0,340,16:37.5,QX7T739RAQPR1WHVBAJW
4783016,19,83879,181,22,0,418,06:20.4,R0WYJ9UMG8L8AG3IP175
5266389,13,22611,104,6,0.1,78,42:25.8,RUD7BNXKEROPPON9HFWX
88342,20,86817,206,22,0,440,38:52.8,S62DBEB8U4L3CA5JUA5Y
5583176,22,71063,419,18,0,396,32:35.8,963BZF30VTTTJ1SNQ8X3
5067589,2,75360,367,20,0,40,42:00.0,V9YYLOXW8FLLZV0KL4GW
2351549,9,4023,29,2,0.1,18,16:46.6,F0EBV92QCB2KA535KQSF
6650655,4,80008,127,21,0,84,16:58.8,YA5AYWSTBBWC4OFZX1E0
2409404,19,49873,256,13,0,247,18:38.6,X4NH4PAU11QZCU1BW6VH
6588372,10,75250,117,20,0,200,35:56.4,MPXF0RLBOYWI1ER2GISZ
2071034,12,42684,143,11,0,132,49:23.7,IEX2G5BCPQARL034CO0I
1683645,8,34488,188,9,0,72,35:32.6,VXAIND7KKK6L0YUAD87E
2599517,10,26262,24,7,0,70,26:50.5,2CIQULBBCX2NAWDDYX92
6416974,14,73655,234,19,0,266,34:18.6,W539T2IFW0PX9ZTTC24T
4873979,14,18755,52,5,0,70,48:58.1,NW0P9S0XX3Y1PDDIBLIF
6042169,7,86662,124,22,0,154,24:47.9,Y8GQ4P164JNDBQC7EMW0
18254,1,63966,269,17,0,17,50:37.7,JD1BAHE0KJT44EH37GG0
5871177,16,81382,260,21,0.2,336,28:46.4,ZO60Y9VM0O3TL2NZR68B
1125020,12,86404,212,22,0,264,46:45.3,JOP7XINCWZAI901MAQ7C
2313895,6,9446,177,3,0,18,02:15.2,0HGXB2DTYJ55SL8BK6LY
6157640,18,65445,447,17,0.1,306,01:04.2,KVQ3LEG3A3RQ0KNSNURV
2017863,5,96935,70,25,0,125,21:23.0,O406S4OBT9UCXMB8FE6F
5499244,13,12639,446,4,0,52,31:53.8,GBKASBYLRBLDL7YERIXR
6459365,15,74817,189,19,0,285,37:09.5,RDTQW2NUY93MYX7K9VP1
1746586,20,18338,306,5,0,100,40:51.6,QEX2OY3BR0YHSDV6H17S
5638232,9,14818,149,4,0.1,36,57:27.1,K58DONM4KL0VQZU543FU
257456,21,83288,363,22,0,462,46:12.0,50DWIE4XO6C20Y9AA2OG
3759244,9,7396,57,2,0,18,31:02.1,MEIGLARNHG88XFK3CEG1
2718608,20,96996,300,25,0,500,53:17.4,T9SO8BICG3WY4Z190RL8
6716382,1,44674,33,12,0,12,38:55.7,HW2GK45P17DVO53Q0HS8
147236,15,33018,172,9,0,135,31:19.7,O979HN2QDCPAYAOCKFM0
2707013,19,98281,142,25,0,475,21:02.1,6PIHUNTOQL0YWM2NYK0X
1673240,19,74582,77,19,0,361,32:16.3,POOZSKMAWRFBN99I3CVR
5408451,10,40903,407,11,0,110,54:52.4,SE197GPSW2N9J0XU19PU
